k,primorial_k,Delta,prime_factors_gt_k,N_k,N_over_base_measured,enhancement_predicted
3,6,6,-,110392,1.00000,1.00000
3,6,12,-,110744,1.00319,1.00000
3,6,18,-,110810,1.00379,1.00000
3,6,24,-,110763,1.00336,1.00000
3,6,30,5,222008,2.01109,2.00000
3,6,36,-,111337,1.00856,1.00000
3,6,42,7,166258,1.50607,1.50000
3,6,60,5,221676,2.00808,2.00000
3,6,66,11,138039,1.25044,1.25000
3,6,78,13,133400,1.20842,1.20000
3,6,90,5,222226,2.01306,2.00000
3,6,210,"5,7",332970,3.01625,3.00000
3,6,330,"5,11",277815,2.51662,2.50000
3,6,390,"5,13",265860,2.40833,2.40000
3,6,420,"5,7",332708,3.01388,3.00000
3,6,462,"7,11",207668,1.88119,1.87500
3,6,2310,"5,7,11",415990,3.76830,3.75000
4,6,6,-,9330,1.00000,1.00000
4,6,12,-,9455,1.01340,1.00000
4,6,30,5,37927,4.06506,4.00000
4,6,42,7,18972,2.03344,2.00000
4,6,210,"5,7",75689,8.11243,8.00000
4,6,330,"5,11",53987,5.78639,5.71429
4,6,420,"5,7",75296,8.07031,8.00000
4,6,2310,"5,7,11",107656,11.53869,11.42857
5,30,30,-,5523,1.00000,1.00000
5,30,60,-,5538,1.00272,1.00000
5,30,90,-,5446,0.98606,1.00000
5,30,150,-,5462,0.98896,1.00000
5,30,210,7,16359,2.96198,3.00000
5,30,330,11,9060,1.64041,1.66667
5,30,420,7,16229,2.93844,3.00000
5,30,2310,"7,11",27367,4.95510,5.00000
